arabic,english
علي اي سرير تريد ان تنام,which bed do you want to use
ماذا ترون,what do you think
انا سعيد جدا,im very happy
ساوبخه,ill scold him
ذهبت لاتمشي في المتنزه,i went for a walk in the park
لن اذهب ما لم تخبريني اين اجد توم,im not leaving until you tell me where i can find tom
دهست شاحنه كلبنا,our dog was run over by a truck
هل تبحث عن احد,are you looking for someone
اثق بك,i trust you
سكبت النبيذ في كيس و بعدها غمسته في مياه مجمده,i poured the wine in a plastic bag and then dipped it in ice water
لا تعجبني هذه الملاحظات,i dont like these remarks
الكلمات لا يسعها التخفيف عن حزنها العميق,no words can relieve her deep sorrow
اعتقلت الشرطه المشتبه به,the police arrested the suspect
القائمه لانهائيه,the list is endless
سكنا هناك ثلاثه اشهر,we stayed there for three months
توم يقرا كتابا,tom read a book
كن جادا ارجوك,please be serious
عند كل الناس مناعه من الجدري اليوم,everybody is immune to smallpox nowadays
انا لا اشعر بالراحه مؤخرا,i have not felt well recently
ليس لدي علم من اين جاءت,i didnt know where it came from
الست قلقا من احتمال ان يجرح توم,arent you worried that tom might get injured
دع كاميرتي و شانها,leave my camera alone
ما عمرها برايك,how old do you think she is
كان عليك ان تدرس الانجليزيه,you had to study english
انها غاضبه علي,she is mad at me
انخفضت الاسعار مؤخرا,prices have dropped recently
باع توم منزله,tom sold his house
انا مغرمه برجل اخر,im in love with someone else
هل تتحدث الاسبرانتو,do you speak esperanto
لدينا حاله طارئه,we have an emergency
توم قال ان ماري كانت سباحه جيده,tom said that mary was a good swimmer
عليك ان تعمل بجد,you should work hard
لن اخسر,i wont lose
لن اجرح مشاعرك ابدا,i will never hurt you
ظلت عازبه طيله حياتها,she remained single all her life
احب الرقص,i love to dance
لم نرها مطلقا,we didnt see her anywhere
متي يصل هذا القطار الي يوكوهاما,what time does this train reach yokohama
عملت في المزرعه طوال اليوم,i worked on the farm all day
ساكون قد درست الانجليزيه لخمس سنوات مع حلول فبراير المقبل,i will have been studying english for five years next february
ايهما جاء اولا الدجاجه ام البيضه,which came first the chicken or the egg
متي تستيقظ كل يوم,what time do you get up every day
هذا كل ما احتاجه,these are all the things that i need
سابقی في المنزل الليله,im going to stay home tonight
انا نضج كفايه لاتخذ قراراتي الخاصه,im old enough to make my own decisions
سينطلق القطار في غضون خمس دقائق,the train leaves in 5 minutes
بدا التكساسيون بتنظيم جيوشهم,the texans began to organize their own army
اخبرني ما حدث,tell me what happened
هل تمانع اذا ذهبت,do you mind if i go
اين يسكن خالك,where does your uncle live
يرجي ان تقفل الباب عند مغادرتك,please lock the door when you leave
ذلك البيت ملكه,that house belongs to him
دعونا فقط نتظاهر كاننا لا نعرف بعضنا البعض,lets just pretend like we dont know each other
توم يحب الكاري الحار,tom likes hot curry
يسعدني جدا سماع ذلك,im really glad to hear that
ايمكنك ان تريني ذلك,could you show me that
وصلت الي المطار للتو,ive just arrived at the airport
هناك عده طرق لقياس السرعه,there are several ways to measure speed
اكل تفاحه,i am eating an apple
اختر شخصا واحدا,choose one person
هلا منحتني بعض الوقت,will you give me some time
اصبحت ممرضه,she became a nurse
انهم يتحدثون عن هذا و ذاك,they are talking about this and that
هل يمكنني ان اسال الي اين انت ذاهب,may i ask where are you going
افسد المطر نزهتنا,the rain spoiled our picnic
من الافضل لك ان تذهب,you had better go
بامكاني ان العب التنس,i can play tennis
سالني توم عما اصبحت ماري,tom asked me what had become of mary
انت سمنت,youve put on weight
حلمي ان اكون طبيبا,my aim is to be a doctor
هذا موسم البطيخ,watermelons are in season now
لا تترجم الانجليزيه الي اليابانيه حرفيا,dont translate english into japanese word for word
نحن لا نعرف عنه شيئا,we dont know anything about him
هذا مفتاحك,this is your key
اعطني ذلك الكتاب,give me that book
قطعا,definitely
ولد جدي عام ١٩٢٠م,my grandfather was born in 1920
هيا دعنا نخرج من هنا,come on lets get out of here
انت طويل و لكنه اطول,you are tall but he is still taller
كنت غائبا,i was absent
انا لا احاول سلب حقوقك,im not trying to deprive you of your rights
اريد الذهاب الي كيوتو,i want to go to kyoto
من الممكن الا تاتي غدا,she may not come here tomorrow
لدي خوف من الظلام,i have a fear of the dark
انظر الي ذلك المبني الاحمر,look at that red building
لا اعرف شيئا,i dont know anything
لقد حدث هذا منذ زمن طويل,this happened a long time ago
اسمح لي ان اقيس ضغط دمك,let me take your blood pressure
لقد سخر مني,he mocked me
استاذنت لدقيقه,i excused myself for a minute
ما الذي جعلها تفعل ذلك,what made her do such a thing
كان حبا من اول نظره,it was love at first sight
هناك دليل لا يقبل الجدل ان توم هو اللص,there is indisputable proof that tom is the thief
رائع,awesome
لن اتركك ترحل ابدا,ill never let you go
ما الذي حدث هنا,what happened here
اي كتاب افضل,which book is better
لعلك اسات الفهم,perhaps you misunderstood
